restaurant,restaurant_slug,category,item_name,description,price_sar,image_file,image_source_url
AANI & DANI,aani-dani-89598,New Arrival,Macaron Box Aani & Dani X Abdul Samad Al Qurashi,"A delightful gift combining fragrance and flavor, featuring a 100 ml viva macaron perfume by abdul samad alqurashi paired with a selection of aani & dani macarons in an elegant box.",129,images/5d79a56249ad7c74.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/96e4a793f54a2f4651a3d7bbbbcbd689.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Bar Cake,"A rich ice cream cake layered with creamy ice cream and coated in premium chocolate, offering a delicious and indulgent treat in every flavor. serves 8–10 people.",139,images/f3fd648b7789d683.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/a049b45b4f6748f2600d869121f149c5.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Bites Box,"Build your perfect box by choosing 3 flavors from our ice cream bites collection. each selected flavor includes 11 pieces, for a total of 33 delicious ice cream bites. perfect for sharing with family and friends.",85,images/03ffb41aed8c069a.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/b2507a86346dc39125b80db8794056fe.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Cone Box,"Create your own box by choosing 3 flavors from our ice cream cone collection. each selected flavor includes 6 pieces, for a total of 18 ice cream cones. perfect for sharing with family and friends.",85,images/288db5cb6700d9d1.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/a182ea03c9211047f1faaccbdc37126b.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Pop Stick Box,"Create your perfect box by choosing 3 flavors from our pop stick collection. each selected flavor includes 8 pieces, for a total of 24 ice cream pop sticks per box.",85,images/161449d47901cc84.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/8d4c458e36eeb5b8d8dea9e9bef22e44.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Gathering Box,"A perfect sharing box featuring 2 gelato cups of your choice, served with 9 crispy biscuits and 9 spoons. ideal for gatherings, gifting, and sharing sweet moments.",159,images/e7aaa649dbaac3b1.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/29c4a938fe20128be77289e4d9d87a20.png?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Cake Caramel Pecan,"Layers of vanilla ice cream hazelnut sponge filled with vanilla ice cream, and salted caramel filling, topped with salted caramel, pecan nougat, milk chocolate cracks and chocolate seashell, serve 8 - 10 people",159.95,images/c976a34c17817c62.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/bad2c3ce73990bc7691d910f98927c49.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Summer Items,Ice Cream Cake Chocolate,"Layers of chocolate sponge filled with chocolate ice cream, and chocolate ganache, topped with dark chocolate cracks, chocolate sponge cubes drizzled with chocolate ganache, serve 8 - 10 people",159.95,images/9df11e96b77468e8.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/2ade4674d028e00794d842518f126427.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Cheesecake Bel3aks,"A rich layer of biscuit crust, filled with moist vanilla sponge and smooth blueberry and raspberry cream cheese, then decorated with raspberry-shaped chocolate.",145,images/4b310f56bb88280c.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/2d50a19972c8361ba054dd00c73f84e1.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Bueno Cake,"Rich, soft layers of chocolate sponge cake filled with creamy bueno hazelnut filling, coated in glossy chocolate sauce and complemented by crunchy feuilletine layers that create a perfect texture balance. finished with pieces of bueno chocolate… your perfect choice for unforgettable moments",179,images/8653996fb5a99040.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/dc7e1a948c283b9b39f7260b31d2359f.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Red Velvet Cake,"Red velvet cake, soft and fluffy, filled with fresh strawberry sauce and rich cream cheese, topped with premium chocolate and delicate white chocolate flakes.",0,images/02a796e63bac4a28.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/1649d0e135de75b5bc1ce604cc719860.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Galaxy Cake,"Cake mousse with delicious chocolate cream mixed with caramel cream, crunchy almonds, and hazelnuts, topped with a glossy layer and thin pieces of dark chocolate",0,images/08837fcff30fbf64.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/7260dfcf50a26f586fc87f8e46b20688.jpg?width=1440&quality=75&webp=true
AANI & DANI,aani-dani-89598,Cake,Mango Cake,Fresh mango flavor cake stuffed with a delicious blend of mango sauce and light cream cheese. decorated with small and elegant fillings of mango cream,0,images/e17c9a5c80da14dd.jpg,https://images.deliveryhero.io/image/menu-import-gateway-prd/regions/ME/chains/HS-ADN/44d43bd7281e83b5c59c08030ef19649.jpg?width=1440&quality=75&webp=true
